title,vendor,category,published,option,option_value,variant_grams,variant_tracker,variant_policy,variant_service,variant_price,variant_require_shipping,variant_taxable,image,image_position,gift,variant_weight_unit
Akpé plus-Thé de menthe,Akpe plus,Alimentaire,True,Title,Default Title,0.0,shopify,deny,grandmarche,800.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/pivotech_7.jpg?v=1589397504,1.0,False,kg
Akpé plus-Thé de nigelle,Akpe plus,Alimentaire,True,Title,Default Title,0.0,shopify,deny,grandmarche,1000.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/pivotech_4.jpg?v=1589397505,1.0,False,kg
Akpé plus-Croquettes de curcuma au gingembre,Akpe plus,Alimentaire,True,Title,Default Title,0.0,shopify,deny,grandmarche,600.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/pivotech_2.jpg?v=1589397330,1.0,False,kg
Akpé plus-Croquette de gingembre au clou de girofle,Akpe plus,Alimentaire,True,Title,Default Title,0.0,shopify,deny,grandmarche,600.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/DSC5903.jpg?v=1589397330,1.0,False,kg
TV 32 Pouces Smart Satellite,le-grandmarche,High tech,False,Title,Default Title,0.0,shopify,deny,grandmarche,190000.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/TVSMARTSAT32P.jpg?v=1589397518,1.0,False,kg
Géant Champignon 100% Bio - 50G,Géant & Co,Alimentaire,True,Title,Default Title,0.0,shopify,deny,grandmarche,1000.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/coovich_7.jpg?v=1589398188,1.0,False,kg
Géant Champignon 100% Bio - 500G,Geant & Co,Alimentaire,True,Title,Default Title,0.0,shopify,deny,grandmarche,9000.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/coovich_10.jpg?v=1589398187,1.0,False,kg
Géant Champignon 100% Bio - 250G,Géant & Co,Alimentaire,True,Title,Default Title,0.0,shopify,deny,grandmarche,5000.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/coovich_2.jpg?v=1589398187,1.0,False,kg
Géant Champignon 100% Bio - 100G,Geant & Co,Alimentaire,True,Title,Default Title,0.0,shopify,deny,grandmarche,2000.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/coovich.jpg?v=1589398186,1.0,False,kg
PRT20-0003 - Anaca3 Capteur de Graisse B/60 GEL,LA NOUVELLE PHARMACIE HOUEYIHO,Complément Alimentaire,True,Title,Default Title,0.0,shopify,deny,grandmarche,24990.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/anaca3_capteur_graisses_et_sucres_30_gelules-330x413.jpg?v=1589397237,1.0,False,kg
PRT20-0003 - Anaca 3 Ventre Plat B/60 GEL,LA NOUVELLE PHARMACIE HOUEYIHO,Complément Alimentaire,True,Title,Default Title,0.0,shopify,deny,grandmarche,24000.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/anaca-3-ventre-plat-60-gelules-330x413.jpg?v=1589397236,1.0,False,kg
PRT20-0003 - Anaca 3 Shot,LA NOUVELLE PHARMACIE HOUEYIHO,Complément Alimentaire,True,Title,Default Title,0.0,shopify,deny,grandmarche,24000.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/anaca3-shot-perte-poids-univers-330x391.png?v=1589397236,1.0,False,kg
PRT20-0003 - Anaca 3 Reducteur D’appétit Gel B/90,LA NOUVELLE PHARMACIE HOUEYIHO,Complément Alimentaire,True,Title,Default Title,0.0,shopify,deny,grandmarche,24990.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/anaca3_reducteur_d_appetit_90_gelules-330x413.jpg?v=1589397235,1.0,False,kg
PRT20-0003 - Anaca3 Perte de Poids,LA NOUVELLE PHARMACIE HOUEYIHO,Complément Alimentaire,True,Title,Default Title,0.0,shopify,deny,grandmarche,28000.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/anaca3-perte-poids-univers.png?v=1589397238,1.0,False,kg
PRT20-0003 - Alinea Retrouver Plat,LA NOUVELLE PHARMACIE HOUEYIHO,Complément Alimentaire,True,Title,Default Title,0.0,shopify,deny,grandmarche,15000.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/ALINEA-RETROUVER-VENTRE-PLAT-330x330.png?v=1589397233,1.0,False,kg
