date,accessoires mode femme,alimentaire,barrettes,beauté et hygiène,bracelets et boucles d'oreille,chaussure pour homme,chaussures femme,chaussures homme,chaussures pour enfants garçon,chaussures pour femme,chaussures pour homme,chemise homme,complet nourrissons,complément alimentaire,ensemble pour homme,hygiène et soins du corps,montres homme,pendentif et boucle d'oreille,petits électroménagers,robe femme,robe pour femme,roman,sac usage mixte,sacs à mains,soins du corps,soins esthétiques,tenue pour homme,thé,électroménagers,e-commerce,country,eventail pour femme,grand électroménager,high tech,hygiène et beauté,hygiène et ménage
2020-12-06,0,24,0,0,0,0.0,0.0,19.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0,30,0,0,0,0,0,76,0,45,senegal,0.0,0.0,0.0,0.0,0.0
2020-12-13,0,16,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0,21,0,0,0,0,0,15,0,15,senegal,0.0,0.0,0.0,0.0,0.0
2020-12-20,0,34,0,0,0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0,19,0,0,0,0,0,16,0,32,senegal,0.0,0.0,33.0,0.0,0.0
2020-12-27,0,17,0,0,0,0.0,21.0,21.0,0.0,0.0,0.0,86.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,6,13,0,0,0,0,0,33,0,0,senegal,0.0,0.0,33.0,0.0,0.0
2021-01-03,0,46,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0,11,0,0,0,0,0,44,0,15,senegal,0.0,0.0,0.0,0.0,0.0
2021-01-10,0,58,0,0,0,0.0,0.0,20.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,52,0,0,0,0,0,16,0,0,senegal,0.0,0.0,0.0,0.0,0.0
2021-01-17,0,40,0,0,0,0.0,40.0,0.0,0.0,0.0,0.0,16.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,6,36,0,0,0,0,0,31,0,0,senegal,0.0,0.0,32.0,0.0,0.0
2021-01-24,0,31,0,0,0,0.0,19.0,0.0,0.0,0.0,0.0,16.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15,0,0,0,0,0,45,0,15,senegal,0.0,0.0,0.0,0.0,0.0
2021-01-31,0,32,0,0,0,0.0,19.0,19.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,3,12,0,0,0,0,0,15,0,0,senegal,0.0,0.0,0.0,0.0,0.0
2021-02-07,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,31,0,0,0,0,0,0,0,16,senegal,0.0,0.0,0.0,0.0,0.0
2021-02-14,0,39,0,0,0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0,41,0,0,0,0,0,0,0,0,senegal,0.0,0.0,0.0,0.0,0.0
2021-02-21,0,31,0,0,0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0,34,0,0,0,0,0,29,0,0,senegal,0.0,0.0,0.0,0.0,0.0
2021-02-28,0,32,0,0,0,0.0,0.0,39.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0,30,0,0,0,0,0,45,0,0,senegal,0.0,0.0,0.0,0.0,0.0
